Year Mo Dy     tave     tmax     tmin       vp    rhmax    rhmin        pp      gust
2000  5 27   16.441   25.416    7.466    1.093    0.981    0.188     0.000     7.644
2000  5 28   20.958   32.502    9.413    1.208    0.810    0.165     0.000    14.484
2000  5 29   26.628   35.337   17.920    1.049    0.530    0.072     0.000     9.310
2000  5 30   17.750   22.582   12.917    1.280    0.880    0.379     0.000     9.094
2000  5 31   18.171   24.536   11.805    1.264    1.019    0.193     0.000     8.859
2000  6  1   14.552   19.883    9.221    0.694    0.662    0.177     0.000    10.035
2000  6  2   16.401   25.338    7.464    1.049    0.794    0.332     0.000     7.605
2000  6  3   21.218   32.819    9.616    1.305    0.956    0.080     0.000    11.074
2000  6  4   18.237   22.546   13.928    1.119    0.711    0.358     0.000     7.291
2000  6  5   16.841   24.787    8.895    1.144    0.860    0.334     0.000     5.782
2000  6  6   21.805   32.573   11.036    1.389    0.944    0.120     0.000    10.133
2000  6  7   22.540   34.987   10.092    1.148    0.773    0.067     0.000     7.389
2000  6  8   23.693   34.253   13.133    1.121    0.643    0.122     0.000    10.976
2000  6  9   21.314   29.214   13.415    1.123    0.763    0.123     0.000    10.800
2000  6 10   18.556   26.794   10.319    0.957    0.703    0.194     0.000     8.898
2000  6 11   21.268   29.511   13.026    1.087    0.724    0.136     0.000     7.624
2000  6 12   20.401   30.774   10.028    1.152    0.875    0.086     0.000     7.468
2000  6 13   18.434   26.293   10.575    0.972    0.772    0.146     0.000    13.250
2000  6 14   16.710   25.981    7.440    1.100    0.910    0.247     0.000     6.978
2000  6 15   21.892   31.005   12.779    1.158    0.742    0.140     0.000    13.602
2000  6 16   10.973   13.283    8.662    0.989    0.978    0.531     0.000     6.370
2000  6 17   11.364   17.247    5.481    0.995    0.997    0.483     0.000     7.174
2000  6 18   16.326   26.195    6.458    1.176    0.993    0.274     0.000    11.270
2000  6 19   19.687   25.594   13.780    1.280    0.842    0.275     0.000    10.643
2000  6 20   17.894   26.449    9.338    1.013    0.873    0.116     0.000    10.564
2000  6 21   17.047   26.278    7.817    1.053    0.895    0.190     0.000     7.448
2000  6 22   21.062   31.576   10.549    1.186    0.809    0.141     0.000     6.017
2000  6 23   23.198   31.341   15.054    1.131    0.657    0.138     0.000    10.623
2000  6 24   23.030   32.902   13.158    1.250    0.751    0.138     0.000    11.290
2000  6 25   18.831   24.388   13.274    1.357    0.860    0.388     0.000     8.957
